,Zip Code,City,County,Median Listing Price - All Homes,Median Listing Price Per Square Foot - All Homes,Median Rental Price - All Homes,Median Rental Price Per Square Foot - All Homes,Median Sold Price - All Homes,Median Value Per Square Foot - All Homes,New Monthly Listings - NSA - All Homes,New Monthly Listings - SA - All Homes,Percent Of Homes Decreasing In Values - All Homes,Percent Of Homes Increasing In Values - All Homes,Percent Of Listings With Price Reductions - All Homes,Price To Rent Ratio - All Homes,Turnover - All Homes,Unsold Renos - All Homes,Zillow Home Value Index - All Homes,Zillow Rental Index - All Homes,pHisp_e,pNHBlack_e,pNH_AmInd_e,pNH_Asian_e,pNH_PacIsl_e,pNH_OthRace_e,pNH_TwoRace_e,% Minority
6,30097,Duluth,Fulton,475000.0,151.2348034,2000.0,0.840823298,331100.0,145.0,74.0,67.0,54.88,44.61,10.58201058,11.83,4.5953,13.2,462955.0,2340.0,6.1,10.8,0.2,38.8,0.0,0.3,2.0,58.2
7,30213,Fairburn,Fulton,228380.0,93.58941872,1545.0,0.794117647,164625.0,188.0,56.0,52.0,18.24,81.03,10.85043988,18.4,1.0733,300.5,203130.0,1528.0,7.8,76.8,0.0,0.1,0.0,0.2,0.4,85.3
8,30268,Palmetto,Fulton,277450.0,121.95121950000001,,,148846.1538,299.0,14.0,19.0,18.24,81.5,8.163265306,23.43,2.964,66.3,189892.0,1421.0,16.0,37.5,0.1,0.5,0.0,0.0,0.8,54.9
9,30291,Union City,Fulton,150990.0,81.02157640000001,1275.0,0.760025873,73575.0,22.0,23.0,31.0,8.72,90.88,8.720930232999999,19.52,0.2628,196.6,151501.0,1315.0,4.7,84.6,0.0,0.1,0.0,0.0,0.8,90.2
10,30303,Atlanta,Fulton,,,,,148900.0,206.0,,,24.73,74.81,,16.49,3.2134,137.8,219973.0,1632.0,7.4,55.9,0.3,5.8,0.0,0.0,3.2,72.6
16,30310,Atlanta,Fulton,216700.0,166.23883930000002,1395.0,1.035995856,119750.0,237.0,69.0,68.0,2.1,97.73,21.58054711,37.76,5.7966,110.8,236996.0,1374.0,1.7,88.6,0.1,0.3,0.0,0.0,2.0,92.7
17,30311,Atlanta,Fulton,194900.0,131.6049383,1300.0,0.920846395,58230.7692,137.0,36.0,33.0,8.08,91.62,17.06161137,21.66,4.2222,96.8,205449.0,1381.0,3.9,94.2,0.1,0.2,0.0,0.0,0.4,98.8
18,30312,Atlanta,Fulton,385900.0,269.36961210000004,2290.0,1.71641791,245025.0,476.0,28.0,39.0,50.52,48.08,15.04854369,13.52,4.0278,69.1,374145.0,1912.0,4.3,49.5,0.0,3.1,0.0,0.1,2.5,59.5
19,30313,Atlanta,Fulton,300000.0,214.57765669999998,,,181882.3529,221.0,14.0,12.0,40.22,58.77,18.03278689,15.15,2.9292,88.8,284853.0,1727.0,6.1,38.3,0.0,15.5,0.1,0.1,2.5,62.6
20,30314,Atlanta,Fulton,,,1300.0,1.149665552,35000.0,167.0,52.0,42.0,3.76,96.09,15.34653465,26.59,5.05,123.5,183600.0,1297.0,2.4,86.7,0.0,2.2,0.0,0.2,1.1,92.6
21,30315,Atlanta,Fulton,,,1292.5,1.1358857709999999,125250.0,254.0,59.0,59.0,11.8,87.92,13.2183908,30.8,4.1796,117.8,164376.0,1301.0,7.2,79.4,0.1,0.5,0.0,0.3,1.2,88.7
22,30316,Atlanta,Fulton,339810.5,222.7722772,1700.0,1.4342100709999999,276790.0,356.0,103.0,82.0,46.15,52.76,13.61702128,14.0,6.875,16.4,327716.0,1631.0,4.9,52.3,0.3,1.7,0.0,0.3,2.8,62.3
23,30318,Atlanta,Fulton,345000.0,203.35946130000002,1600.0,1.333333333,257750.0,318.0,107.0,94.0,26.2,73.22,12.39669421,21.99,4.8536,67.0,267538.0,1602.0,5.1,52.7,0.1,6.1,0.1,0.2,2.3,66.6
27,30331,Atlanta,Fulton,215000.0,108.59242579999999,1395.0,0.938521242,145750.0,108.0,81.0,74.0,21.31,78.14,12.85714286,19.87,0.8307,150.9,186278.0,1435.0,2.0,95.4,0.3,0.1,0.0,0.0,0.8,98.6
28,30336,Atlanta,Fulton,,,,,,112.0,,,98.48484848,0.0,,15.87,0.7143,,182838.0,1393.0,5.1,82.4,0.0,1.3,0.0,0.0,2.5,91.3
29,30337,Atlanta,Fulton,279900.0,153.0612245,,,134497.0,-270.0,13.0,12.0,17.54,81.92,12.28070175,22.21,4.406000000000001,66.3,201898.0,1370.0,5.2,79.2,0.3,0.2,0.0,0.0,0.8,85.7
32,30344,Atlanta,Fulton,176900.0,134.8385247,1200.0,0.961538462,118185.0,189.0,75.0,59.0,5.49,94.32,15.87301587,25.15,5.2481,102.6,176627.0,1298.0,10.1,74.9,0.0,1.4,0.0,0.1,1.2,87.7
33,30349,Atlanta,Fulton,185000.0,96.93888889,1395.0,0.817948718,108455.0,128.0,81.0,78.0,12.17,87.42,7.910750507,25.31,1.4238,247.2,163519.0,1361.0,2.9,91.2,0.1,0.5,0.0,0.3,2.0,97.0
34,30350,Atlanta,Fulton,539000.0,165.4896552,1600.0,1.060447778,340950.0,513.0,45.0,39.0,36.2,62.83,11.46788991,18.39,3.0716,34.7,431131.0,2059.0,13.1,33.0,0.3,3.5,0.0,0.3,2.5,52.7
35,30354,Atlanta,Fulton,,119.38392379999999,1125.0,0.995,89600.0,130.0,27.0,29.0,4.15,95.72,13.63636364,28.41,4.4003,91.2,160190.0,1272.0,7.6,72.9,0.0,1.2,0.0,2.3,3.5,87.5
38,30008,Marietta,Cobb,236700.0,127.48724490000001,1380.0,0.886928105,151400.0,161.0,37.0,37.0,25.91,72.65,5.479452055,13.33,5.1998,81.8,196966.0,1408.0,32.4,38.3,0.0,2.0,0.0,0.5,3.0,76.2
39,30060,Marietta,Cobb,290000.0,166.923571,1395.0,1.0450089340000002,177585.0,179.0,36.0,34.0,19.61,79.69,12.90322581,19.22,4.8835,76.9,197747.0,1408.0,36.8,28.7,0.0,2.1,0.1,0.7,1.5,69.9
49,30080,Smyrna,Cobb,368000.0,176.4728534,1525.0,1.096438032,273600.0,224.0,109.0,92.0,54.32,44.46,13.69294606,10.81,6.6093,39.7,308570.0,1631.0,16.1,29.3,0.1,8.2,0.1,0.2,2.4,56.4
51,30082,Smyrna,Cobb,329950.0,157.8646583,1525.0,1.034482759,269225.0,265.0,49.0,47.0,50.06,48.76,23.76681614,11.88,6.2453,36.4,306599.0,1723.0,15.2,33.2,0.0,7.3,0.0,0.0,1.7,57.4
54,30106,Austell,Cobb,195000.0,115.41237109999999,1477.0,0.8690798120000001,122650.0,119.0,18.0,18.0,15.46,83.99,9.183673469,15.31,4.184,85.8,186056.0,1394.0,11.8,55.0,0.0,1.8,0.0,0.0,1.2,69.8
56,30126,Mableton,Cobb,282765.0,136.0805301,1545.0,0.902258903,238600.0,349.0,76.0,72.0,38.54,60.5,13.07692308,13.05,5.7923,65.9,246847.0,1567.0,17.1,42.3,0.0,2.3,0.0,0.3,3.3,65.3
57,30127,Powder Springs,Cobb,279307.0,127.993177,1495.0,0.914351852,184350.0,150.0,92.0,88.0,44.33,54.25,17.16101695,11.57,5.0805,232.8,228315.0,1503.0,8.3,41.8,0.2,2.2,0.0,0.2,2.3,55.0
62,30168,Austell,Cobb,172450.0,105.26315790000001,1360.0,0.8666666670000001,102500.0,113.0,16.0,18.0,24.76,73.73,10.14492754,11.82,4.3176,120.6,172902.0,1343.0,22.2,61.0,0.0,0.5,0.0,0.1,0.6,84.4
64,30021,Clarkston,Dekalb,200000.0,110.18822959999999,,,130000.0,140.0,11.0,11.0,53.18,46.08,32.60869565,7.91,4.7293,84.7,190494.0,1302.0,2.9,49.4,0.8,31.7,0.8,0.1,2.7,88.4
66,30032,Decatur,Dekalb,235450.0,156.4669164,1395.0,1.127144526,136550.0,168.0,102.0,88.0,30.01,69.11,16.46825397,13.03,6.327000000000001,129.4,210585.0,1326.0,3.0,83.0,0.3,0.5,0.0,0.6,3.2,90.6
68,30034,Decatur,Dekalb,158308.5,90.6379621,1330.0,0.797717907,86875.0,97.0,53.0,45.0,8.85,90.81,13.30798479,17.73,3.3139,603.4,168002.0,1302.0,1.3,94.5,0.0,0.4,0.0,0.2,1.6,98.0
69,30035,Decatur,Dekalb,154999.0,90.42539832,1350.0,0.892857143,71775.0,100.0,14.0,16.0,35.3,63.72,9.649122807000001,10.45,3.2599,,164080.0,1270.0,2.3,90.1,0.8,1.5,0.0,0.5,1.5,96.7
70,30038,Lithonia,Dekalb,150000.0,81.81818182,1277.5,0.8047914690000001,123750.0,52.0,69.0,66.0,41.75,57.56,8.417508417999999,10.59,3.7245,144.2,161209.0,1283.0,1.1,93.4,0.3,0.2,0.0,0.1,0.8,95.9
71,30058,Lithonia,Dekalb,175000.0,94.59106045,1345.0,0.831877955,117080.0,138.0,66.0,56.0,31.85,67.15,11.33144476,10.96,3.194,132.0,157689.0,1285.0,2.9,90.2,0.2,0.9,0.0,1.4,1.9,97.5
72,30079,Scottdale,Dekalb,,,,,285500.0,156.0,,,55.44,44.04,,8.65,4.2848,71.4,205616.0,1361.0,1.0,49.4,0.0,15.7,0.0,0.0,8.2,74.3
73,30083,Stone Mountain,Dekalb,169900.0,93.71833840000001,1297.0,0.814938133,104225.0,138.0,51.0,46.0,34.5,64.42,8.943089431,11.62,4.4472,110.3,166658.0,1277.0,3.6,79.2,0.0,3.6,0.0,0.5,1.8,88.7
74,30084,Tucker,Dekalb,259900.0,142.80109850000002,1600.0,0.93373494,195225.0,144.0,46.0,51.0,64.83,34.41,13.15789474,9.54,5.0713,32.1,261692.0,1562.0,20.5,20.9,0.1,11.8,0.0,0.5,3.7,57.5
75,30087,Stone Mountain,Dekalb,232450.0,100.4332141,1480.0,0.771763952,159250.0,201.0,52.0,49.0,48.63,50.02,14.85943775,10.95,3.9812,65.8,225748.0,1537.0,5.5,61.2,0.1,3.6,0.0,0.5,1.5,72.4
76,30088,Stone Mountain,Dekalb,150000.0,88.42754935,1295.0,0.8431894670000001,85050.0,190.0,33.0,32.0,30.99,68.01,13.95348837,11.44,4.3018,141.8,158798.0,1268.0,2.8,89.5,0.0,2.1,0.0,0.0,1.2,95.6
77,30294,Ellenwood,Dekalb,190900.0,91.37055838,1397.0,0.854008104,110985.0,140.0,32.0,39.0,29.24,70.22,12.75510204,14.76,3.2614,1033.7,182870.0,1366.0,4.6,84.5,0.0,2.1,0.0,0.2,1.3,92.7
78,30317,Atlanta,Dekalb,440000.0,264.52699739999997,1895.0,1.357006999,320965.0,-320.0,31.0,28.0,75.22,24.03,16.75977654,7.84,8.4483,0.3,426044.0,1917.0,3.6,45.3,0.0,2.1,0.0,0.2,3.2,54.4
80,30329,Atlanta,Dekalb,448535.0,208.9225374,2000.0,1.279338932,273275.0,243.0,21.0,18.0,93.52,6.05,9.821428571,5.93,4.2786,28.7,422336.0,2141.0,33.3,15.4,0.2,8.0,0.0,0.2,2.8,59.9
82,30340,Atlanta,Dekalb,297950.0,154.83929019999997,,,264425.0,328.0,18.0,22.0,46.71,52.47,16.83168317,12.92,5.0376,143.9,277284.0,1691.0,44.3,16.6,0.4,12.0,0.0,0.9,1.3,75.5
83,30341,Atlanta,Dekalb,440595.0,189.3795252,2000.0,1.293802226,257300.0,208.0,70.0,57.0,73.95,25.15,7.482993197000001,9.97,6.1612,105.9,382500.0,1937.0,26.9,15.6,0.5,10.0,0.0,0.4,2.8,56.2
84,30345,Atlanta,Dekalb,459900.0,207.149893,2275.0,,391175.0,220.0,25.0,21.0,92.93,6.77,18.584070800000003,6.03,5.7129,,467752.0,2259.0,22.3,22.4,0.2,6.0,0.0,0.2,2.9,54.0
85,30346,Atlanta,Dekalb,499672.5,227.46242769999998,,,338120.0,306.0,,,99.40476190000001,0.595238095,,4.74,8.9855,,382909.0,1847.0,4.5,20.0,0.0,27.1,0.0,0.0,0.0,51.6
86,30360,Atlanta,Dekalb,398345.0,171.1783439,,,279185.0,174.0,22.0,18.0,69.11,29.91,32.25806452,9.61,5.1653,25.3,360123.0,1848.0,34.3,14.8,0.2,8.2,0.2,0.9,1.6,60.2
90,30039,Snellville,Gwinnett,224900.0,96.15212528,1495.0,0.766129032,163625.0,403.0,57.0,57.0,30.05,68.89,11.95219124,15.67,4.9384,90.0,218356.0,1498.0,7.4,62.1,0.0,3.2,0.1,0.8,1.5,75.1
91,30043,Lawrenceville,Gwinnett,275000.0,113.916205,1600.0,0.785083415,195415.0,542.0,120.0,111.0,31.38,67.35,10.13645224,14.82,5.6621,55.6,257385.0,1619.0,18.3,23.0,0.2,12.3,0.0,0.5,2.0,56.3
92,30044,Lawrenceville,Gwinnett,248350.0,115.81291759999999,1550.0,0.832406465,163000.0,694.0,86.0,83.0,16.21,83.22,10.49250535,20.83,4.8579,64.8,222925.0,1489.0,32.9,25.1,0.1,12.3,0.1,1.0,1.3,72.8
93,30045,Lawrenceville,Gwinnett,261014.0,109.4572679,1600.0,0.7769726,182365.0,673.0,58.0,57.0,46.98,51.86,12.01298701,12.0,5.0081,100.3,249034.0,1611.0,16.1,44.0,0.1,5.4,0.0,0.4,2.3,68.3
94,30046,Lawrenceville,Gwinnett,251000.0,116.1730271,1485.0,0.819549436,152175.0,549.0,47.0,46.0,23.99,75.22,6.392694064,15.68,4.7429,73.3,207691.0,1468.0,22.4,32.5,0.0,7.5,0.0,0.1,2.4,64.9
95,30047,Lilburn,Gwinnett,265000.0,114.7666412,1641.0,0.8087693440000001,173200.0,307.0,82.0,73.0,39.57,58.79,14.96598639,13.49,4.3924,43.5,249165.0,1573.0,20.8,20.9,0.3,14.6,0.2,0.8,2.6,60.2
96,30071,Norcross,Gwinnett,275000.0,131.27187859999998,1520.0,0.84647561,152150.0,624.0,32.0,29.0,21.48,77.92,10.09174312,19.03,5.4419,70.5,211460.0,1470.0,46.3,19.1,0.0,10.3,0.0,0.6,1.7,78.0
97,30078,Snellville,Gwinnett,300800.0,119.65090090000001,1499.0,0.792572033,174115.0,350.0,57.0,57.0,15.57,84.12,10.97178683,54.83,5.5448,116.6,233604.0,1551.0,11.5,34.0,0.3,9.0,0.0,0.3,1.5,56.6
98,30092,Norcross,Gwinnett,393760.0,150.0,1515.0,0.9175206020000001,312650.0,145.0,44.0,40.0,62.15,36.36,8.920187793,11.95,5.9577,31.0,372403.0,1900.0,14.6,24.6,0.0,9.1,0.0,0.1,1.8,50.2
99,30093,Norcross,Gwinnett,198785.5,119.1079574,1295.0,0.974576271,130550.0,269.0,23.0,23.0,16.45,83.02,9.433962264,20.91,4.7636,62.0,193620.0,1422.0,53.1,22.9,0.1,10.4,0.0,0.4,2.4,89.3
100,30096,Duluth,Gwinnett,300000.0,140.0720576,1595.0,0.875156582,182750.0,352.0,62.0,59.0,28.02,70.93,9.931506849,16.96,5.622000000000001,52.9,255389.0,1594.0,23.2,26.1,0.1,18.2,0.0,0.4,2.7,70.7
110,30122,Lithia Springs,Douglas,214900.0,100.610054,1300.0,0.750877193,131445.0,0.0,13.0,19.0,13.09,86.68,14.70588235,34.96,3.612,130.6,166533.0,1288.0,13.3,52.4,0.4,1.9,0.0,0.0,0.9,68.9
111,30134,Douglasville,Douglas,199900.0,110.1694915,1349.0,0.89308652,140675.0,154.0,40.0,44.0,19.12,80.28,12.54752852,21.85,4.4972,65.6,175707.0,1300.0,7.8,44.2,0.1,1.4,0.0,0.1,1.2,54.8
112,30135,Douglasville,Douglas,230000.0,107.7625132,1399.0,0.842294943,156075.0,207.0,108.0,89.0,53.95,44.75,13.86363636,8.97,4.2353,113.0,201017.0,1422.0,8.1,41.9,0.0,1.3,0.0,0.1,1.4,52.8
115,30214,Fayetteville,Fayette,299900.0,124.56363190000002,1005.0,0.840978593,177950.0,258.0,58.0,49.0,23.21,76.32,11.35371179,22.47,3.7880000000000003,68.9,249776.0,1671.0,9.3,42.7,0.0,4.0,0.2,1.2,2.3,59.7
119,30236,Jonesboro,Clayton,189250.0,108.9239479,1254.0,0.917324618,97275.0,111.0,50.0,47.0,17.21,82.42,10.42345277,20.86,3.1422,1056.5,166009.0,1245.0,11.6,62.4,0.0,4.4,0.0,0.0,1.5,79.9
120,30238,Jonesboro,Clayton,159700.0,108.0405405,1195.0,0.9683098590000001,64215.0,110.0,49.0,43.0,14.56,85.01,9.126984127,22.65,3.9927,579.7,146653.0,1144.0,11.2,71.4,0.3,3.2,0.0,0.1,3.2,89.4
121,30260,Morrow,Clayton,139700.0,111.3917781,1150.0,0.998670148,85311.7647,174.0,23.0,23.0,13.18,86.59,12.5,19.81,3.0657,280.3,133102.0,1103.0,13.0,52.9,0.3,19.5,0.0,0.0,2.1,87.8
122,30273,Rex,Clayton,150500.0,112.35225590000002,1150.0,0.800793923,124025.0,106.0,20.0,17.0,13.42,85.94,8.490566037999999,18.19,3.9946,134.9,147136.0,1184.0,13.7,64.3,0.0,2.8,0.0,3.6,1.2,85.6
124,30288,Conley,Clayton,115000.0,93.10475709,,,27000.0,97.0,,,14.61,84.89,,19.96,3.7527,43.7,138578.0,1208.0,12.6,75.7,0.0,0.8,0.0,0.0,2.7,91.8
125,30296,Riverdale,Clayton,159900.0,106.7038807,1212.5,1.0109371120000001,88765.0,281.0,29.0,28.0,9.32,90.38,7.692307692000001,18.85,2.6583,107.9,152112.0,1210.0,8.0,83.1,0.2,2.2,0.0,0.2,1.1,94.8
126,30297,Forest Park,Clayton,100000.0,96.91358025,985.0,0.9522824740000001,47050.0,167.0,12.0,17.0,3.57,96.31,10.11235955,26.97,3.1428,128.1,87927.0,958.0,31.6,43.1,1.2,6.7,0.0,0.2,1.6,84.4
127,30228,Hampton,Henry,207900.0,104.4151367,1385.0,0.952549575,156715.0,168.0,57.0,51.0,32.26,66.84,9.052631579,14.93,5.2254,166.4,194178.0,1401.0,7.8,54.8,0.0,2.4,0.0,0.3,3.0,68.3
130,30253,Mcdonough,Henry,216499.5,98.33188433,1449.0,0.794763908,163550.0,135.0,87.0,93.0,23.66,75.79,9.009009009,21.2,5.3184,107.8,204702.0,1494.0,7.4,49.8,0.1,4.5,0.0,0.0,3.2,65.0
131,30281,Stockbridge,Henry,218900.0,98.76388889,1340.0,0.802055407,145150.0,129.0,76.0,70.0,17.21,82.39,9.382716048999999,26.49,4.4587,90.3,186181.0,1386.0,8.1,45.6,0.2,4.5,0.0,0.7,2.1,61.2
132,30012,Conyers,Rockdale,175950.0,95.21370855,1210.0,0.754916232,78500.0,233.0,49.0,40.0,7.82,92.04,12.30769231,76.15,4.007,92.6,154284.0,1251.0,18.0,44.5,0.2,1.3,0.8,0.1,0.8,65.7
133,30013,Conyers,Rockdale,239900.0,97.91440047,1195.0,0.7692307690000001,137462.5,182.0,28.0,30.0,16.32,83.3,11.88118812,54.77,5.6095,85.3,198094.0,1384.0,7.8,62.6,0.0,2.3,0.0,0.0,2.1,74.8
134,30094,Conyers,Rockdale,216500.0,99.13205208,1365.0,0.8389830509999999,161050.0,250.0,34.0,42.0,13.13,86.73,13.09090909,61.35,4.5754,67.4,200362.0,1397.0,6.1,50.5,0.1,2.3,0.0,0.3,2.3,61.6
