Code,Name
_FOR10KM,"Foreclosures Per 10,000 Homes MSA"
_MLPAH,Median Listing Price - All Homes
_MLPFAH,Median Listing Price Per Square Foot - All Homes
_MRPAH,Median Rental Price - All Homes
_MRPFAH,Median Rental Price Per Square Foot - All Homes
_MSPAH,Median Sold Price - All Homes
_MVALFAH,Median Value Per Square Foot - All Homes
_NFS,NF Sales
_NMLNSAH,New Monthly Listings - NSA - All Homes
_NMLSAAH,New Monthly Listings - SA - All Homes
_PHDVAH,Percent Of Homes Decreasing In Values - All Homes
_PHIVAH,Percent Of Homes Increasing In Values - All Homes
_PLPRAH,Percent Of Listings With Price Reductions - All Homes
_PRRAH,Price To Rent Ratio - All Homes
_TURNAH,Turnover - All Homes
_USRAH,Unsold Renos - All Homes
_ZHVIAH,Zillow Home Value Index - All Homes
_ZRIAH,Zillow Rental Index - All Homes